,Rank,Title,Author,Avg_Rating,Num_Ratings,ISBN,ASIN,Genres,Series,Page_Number,Format
142,143,The Five People You Meet in Heaven,Mitch Albom,,763446,9780786868711,0786868716,"Genres, Fiction, Contemporary, Inspirational, Fantasy, Classics, Spirituality, Philosophy",,196,Hardcover
143,144,Watchmen,Alan Moore,4.38,578899,9780930289232,0930289234,"Genres, Graphic Novels, Fiction, Science Fiction, Fantasy, Graphic Novels Comics, Classics, Comic Book",,416,Paperback
144,145,The Girl Who Played With Fire,Stieg Larsson,4.26,955897,9780307269980,0307269981,"Genres, Fiction, Mystery, Thriller, Crime, Mystery Thriller, Suspense, Audiobook",Millennium #2,503,Hardcover
145,146,The Divine Comedy: Inferno - Purgatorio - Paradiso,Dante Alighieri,4.08,163495,9780679433132,0679433139,"Genres, Poetry, Fiction, Literature, Philosophy, Fantasy, Italian Literature, Italy",,798,Hardcover
146,147,The Cat in the Hat,Dr. Seuss,4.19,567104,9780394800011,039480001X,"Genres, Childrens, Picture Books, Fiction, Poetry, Classics, Fantasy, Humor","Cat in the Hat, #1",61,Hardcover
147,148,All Quiet on the Western Front,Erich Maria Remarque,4.09,490602,9780449213940,B00EJ3APSG,"Genres, Fiction, Historical Fiction, War, Classics, Historical, Literature, School",,296,Mass Market Paperback
148,149,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,4.25,797495,Not found,B007NBGZEE,"Genres, Fantasy, Fiction, Humor, Audiobook, Comedy, Urban Fantasy, Science Fiction Fantasy",,491,Mass Market Paperback
149,150,"Hush, Hush",Becca Fitzpatrick,3.92,729087,9781416989417,1416989412,"Genres, Fantasy, Young Adult, Romance, Paranormal, Angels, Paranormal Romance, Fiction","Hush, Hush, #1",391,Hardcover
150,151,The Little House Collection,Laura Ingalls Wilder,4.36,155519,9780060529963,0060529962,"Genres, Classics, Historical Fiction, Childrens, Fiction, Young Adult, Historical, Middle Grade","Little House, #1-9",2700,Paperback
151,152,Lonesome Dove,Larry McMurtry,4.55,211846,9780671683900,067168390X,"Genres, Fiction, Historical Fiction, Westerns, Classics, Historical, Adventure, Audiobook","Lonesome Dove, #1",960,Mass Market Paperback
152,153,Catching Fire,Suzanne Collins,4.34,3856108,9780439023498,0439023491,"Genres, Young Adult, Fiction, Fantasy, Science Fiction, Romance, Audiobook, Teen","The Hunger Games, #2",391,Hardcover
153,154,Peter Pan,J.M. Barrie,4.04,361614,9780805072457,0805072454,"Genres, Fantasy, Fiction, Childrens, Classics, Adventure, Audiobook, Young Adult",,155,Hardcover
154,155,The Song of Achilles,Madeline Miller,4.31,1765650,Not found,Not found,"Genres, Fantasy, Historical Fiction, Romance, Fiction, Mythology, LGBT, Queer",,408,Paperback
155,156,The Titan’s Curse,Rick Riordan,4.37,1151343,Not found,B00Z857ISO,"Genres, Fantasy, Young Adult, Mythology, Fiction, Middle Grade, Adventure, Greek Mythology","Percy Jackson and the Olympians, #3",352,Kindle Edition
156,157,The Battle of the Labyrinth,Rick Riordan,4.42,1164473,9781423101468,1423101464,"Genres, Fantasy, Young Adult, Mythology, Fiction, Middle Grade, Adventure, Greek Mythology","Percy Jackson and the Olympians, #4",361,Hardcover
157,158,Love in the Time of Cholera,Gabriel García Márquez,3.94,527673,9781400034680,140003468X,"Genres, Fiction, Historical Fiction, Magical Realism, Literature, Novels, Spanish Literature, Literary Fiction",,348,Paperback
158,159,Gone Girl,Gillian Flynn,4.14,3296196,9780307588371,0307588378,"Genres, Fiction, Mystery, Thriller, Mystery Thriller, Crime, Suspense, Contemporary",,415,Paperback
159,160,The Addiction Manifesto,Jerry Weaver,4.76,1238,9781638377634,1638377634,"Genres, Nonfiction, Self Help, Memoir, Psychology, Mental Health, Biography",,178,Paperback
160,161,Insurgent,Veronica Roth,3.97,1573354,9780007442911,0007442912,"Genres, Young Adult, Dystopia, Fantasy, Fiction, Science Fiction, Romance, Adventure","Divergent, #2",525,Hardcover
161,162,A Walk to Remember,Nicholas Sparks,4.2,831130,Not found,B0DLT52X7S,"Genres, Romance, Fiction, Contemporary, Young Adult, Chick Lit, Contemporary Romance, Drama",,215,Kindle Edition
162,163,The Secret History,Donna Tartt,4.16,900547,9781400031702,1400031702,"Genres, Fiction, Mystery, Classics, Contemporary, Thriller, Literary Fiction, Mystery Thriller",,559,Paperback
163,164,The Sea of Monsters,Rick Riordan,4.24,1285126,9780786856862,0786856866,"Genres, Fantasy, Young Adult, Mythology, Fiction, Middle Grade, Adventure, Greek Mythology","Percy Jackson and the Olympians, #2",279,Hardcover
164,165,Clockwork Princess,Cassandra Clare,4.55,464113,9781406321340,1406321346,"Genres, Fantasy, Young Adult, Romance, Paranormal, Historical Fiction, Steampunk, Urban Fantasy","The Infernal Devices, #3",567,Paperback
165,166,The Thorn Birds,Colleen McCullough,4.25,358164,Not found,B0DLSX3M6M,"Genres, Fiction, Historical Fiction, Romance, Classics, Historical, Historical Romance, Drama",,692,Mass Market Paperback
166,167,How the Grinch Stole Christmas!,Dr. Seuss,4.38,433741,9780007173044,0007173040,"Genres, Childrens, Picture Books, Christmas, Classics, Fiction, Poetry, Fantasy",,64,Hardcover
167,168,The Ultimate Hitchhiker’s Guide to the Galaxy,Douglas Adams,4.38,332116,9780345453747,B00A2LZDTA,"Genres, Science Fiction, Fiction, Humor, Fantasy, Classics, Comedy, Science Fiction Fantasy","Hitchhiker's Guide to the Galaxy, #1-5",815,Paperback
168,169,Throne of Glass,Sarah J. Maas,4.18,2022046,Not found,Not found,"Genres, Young Adult, Romance, Fiction, Magic, Romantasy, Young Adult Fantasy, Audiobook","Throne of Glass, #1",406,Hardcover
169,170,Shadow Kiss,Richelle Mead,4.33,375441,9781595141972,1595141979,"Genres, Young Adult, Fantasy, Vampires, Paranormal, Romance, Urban Fantasy, Paranormal Romance","Vampire Academy, #3",443,Paperback
170,171,The Compleat Works of Wllm Shkspr,Reduced Shakespeare Company,4.43,9670,9781557831576,B002K27PVS,"Genres, Plays, Classics, Humor, Drama, Fiction, Theatre, Comedy",,137,Kindle Edition
171,172,The Elephant Tree,R.D. Ronald,3.78,31314,9781848764569,1848764561,"Genres, Thriller, Mystery, Fiction, Crime, Drama, Contemporary, Novels",,252,Paperback
172,173,The Maze Runner,James Dashner,4.05,1611433,9780385737944,0385737947,"Genres, Young Adult, Dystopia, Science Fiction, Fiction, Fantasy, Audiobook, Post Apocalyptic","The Maze Runner, #1",384,Hardcover
173,174,Their Eyes Were Watching God,Zora Neale Hurston,3.99,368978,9780061120060,0061120065,"Genres, Classics, Fiction, Historical Fiction, School, Literature, African American, Feminism",,238,Paperback
174,175,The Importance of Being Earnest,Oscar Wilde,4.17,391057,9781580495806,158049580X,"Genres, Classics, Plays, Fiction, Drama, Humor, School, Literature",,89,Paperback
175,176,Atonement,Ian McEwan,3.95,542752,9780385721790,B00A2M6OLU,"Genres, Fiction, Historical Fiction, Classics, Romance, Historical, War, Literary Fiction",,351,Paperback
176,177,The Wonderful Wizard of Oz,L. Frank Baum,,489596,9780140621679,0140621679,"Genres, Classics, Fantasy, Fiction, Childrens, Young Adult, Adventure, Audiobook","Oz, #1",154,Paperback
177,178,The Three Musketeers,Alexandre Dumas,4.1,336442,Not found,Not found,"Genres, Fiction, Historical Fiction, Classics, Adventure, France, Literature, Historical",,625,Paperback
178,179,A Court of Mist and Fury,Sarah J. Maas,4.64,2742739,Not found,B0DT172F4H,"Genres, Fantasy, Romance, Romantasy, Young Adult, Fiction, New Adult, Fae","A Court of Thorns and Roses, #2",626,Kindle Edition
179,180,"Eat, Pray, Love",Elizabeth Gilbert,3.64,1802879,9780143038412,0143038419,"Genres, Nonfiction, Memoir, Travel, Biography, Romance, Chick Lit, Spirituality",,368,Paperback
180,181,The Lorax,Dr. Seuss,4.35,358821,9780679889106,0679889108,"Genres, Childrens, Picture Books, Fiction, Classics, Poetry, Fantasy, Environment",,72,Hardcover
181,182,Goodnight Moon,Margaret Wise Brown,4.32,385904,9780060775858,0060775858,"Genres, Childrens, Picture Books, Fiction, Classics, Poetry, Kids, Animals",,32,Hardcover
182,183,The Hunger Games Trilogy Boxset,Suzanne Collins,4.49,228722,9780545265355,0545265355,"Genres, Young Adult, Fiction, Fantasy, Dystopia, Science Fiction, Romance, Adventure","The Hunger Games, #1-3",1155,Hardcover
183,184,A Midsummer Night’s Dream,William Shakespeare,3.94,560793,9780743477543,0743477545,"Genres, Plays, Fiction, Fantasy, School, Romance, Poetry, Literature",,298,Mass Market Paperback
184,185,Frostbite,Richelle Mead,4.25,365830,Not found,Not found,"Genres, Young Adult, Fantasy, Vampires, Paranormal, Romance, Urban Fantasy, Paranormal Romance","Vampire Academy, #2",327,Paperback
185,186,Bridge to Terabithia,Katherine Paterson,4.06,571489,Not found,B001UFP6JY,"Genres, Fiction, Young Adult, Classics, Fantasy, Childrens, Middle Grade, Realistic Fiction",,190,Kindle Edition
186,187,Murder on the Orient Express,Agatha Christie,4.2,682387,9780007119318,B006VWJ2XC,"Genres, Mystery, Classics, Fiction, Crime, Mystery Thriller, Audiobook, Thriller","Hercule Poirot, #10",274,Paperback
187,188,The Zombie Room,R.D. Ronald,3.82,32064,Not found,B01E4L4VEG,"Genres, Thriller, Mystery, Fiction, Crime, Drama, Suspense, Novels",,218,Kindle Edition
188,189,Heart of Darkness,Joseph Conrad,3.43,536927,9781892295491,1892295490,"Genres, Fiction, Classics, Literature, Historical Fiction, Africa, School, Novels",,188,Paperback
189,190,Tess of the D’Urbervilles,Thomas Hardy,3.84,294177,Not found,B0DSZV77VN,"Genres, Classics, Fiction, Literature, Historical Fiction, 19th Century, Victorian, Novels",,518,Paperback
190,191,The Selection,Kiera Cass,4.07,1678338,9780062059932,B00BG7DY04,"Genres, Romance, Young Adult, Dystopia, Fantasy, Fiction, Audiobook, Science Fiction","The Selection, #1",336,Hardcover
191,192,The Diary of a Young Girl,Anne Frank,4.2,3989763,Not found,B007Z332A0,"Genres, Nonfiction, Biography, Memoir, Classics, Historical, Holocaust, Autobiography",,283,Mass Market Paperback
192,193,The Night Circus,Erin Morgenstern,4.01,1046317,9780385534635,0385534639,"Genres, Fantasy, Fiction, Romance, Historical Fiction, Magic, Young Adult, Audiobook",,506,Hardcover
193,194,The Prophet,Kahlil Gibran,4.23,315757,9780001000391,000100039X,"Genres, Poetry, Classics, Philosophy, Fiction, Spirituality, Religion, Literature",,127,Paperback
194,195,Blood Promise,Richelle Mead,4.3,321864,9781595141989,B0057DB4HI,"Genres, Young Adult, Fantasy, Vampires, Paranormal, Romance, Urban Fantasy, Paranormal Romance","Vampire Academy, #4",503,Hardcover
195,196,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,4.4,3642100,9781501139239,1501139231,"Genres, Fiction, Historical Fiction, LGBT, Contemporary, Audiobook, Queer, Historical",,389,Hardcover
196,197,The Call of the Wild,Jack London,3.91,453405,Not found,0439227143,"Genres, Fiction, Adventure, Young Adult, Animals, Historical Fiction, Literature, Audiobook",,172,Mass Market Paperback
197,198,The Good Earth,Pearl S. Buck,4.01,255541,9781416500186,1416500189,"Genres, Fiction, Historical Fiction, China, Classics, Literature, Historical, Asia","House of Earth, #1",418,Mass Market Paperback
198,199,Alice in Wonderland,Jane Carruth,4.03,394489,9780517223628,0517223627,"Genres, Classics, Fantasy, Fiction, Childrens, Young Adult, Adventure, Literature",,96,Hardcover
199,200,The Joy Luck Club,Amy Tan,3.97,696849,Not found,B001GCVFHI,"Genres, Fiction, Historical Fiction, Classics, China, Contemporary, Historical, School",,288,Paperback
200,201,The Phantom Tollbooth,Norton Juster,4.2,297926,9780394820378,0394820371,"Genres, Fantasy, Fiction, Classics, Childrens, Young Adult, Middle Grade, Adventure",,248,Paperback
201,202,"Oh, the Places You’ll Go!",Dr. Seuss,4.37,427322,9780679805274,0679805273,"Genres, Childrens, Picture Books, Fiction, Classics, Poetry, Fantasy, Young Adult",,44,Hardcover
202,203,The Neverending Story,Michael Ende,4.18,212318,9780525457589,0525457585,"Genres, Fantasy, Fiction, Young Adult, Childrens, Adventure, Classics, German Literature",,396,Hardcover
203,204,Madame Bovary,Gustave Flaubert,3.71,355150,9780192840394,0192840398,"Genres, Fiction, Classics, France, Literature, French Literature, Romance, 19th Century",,329,Paperback
204,205,The Mists of Avalon,Marion Zimmer Bradley,4.13,209919,Not found,B000FC1JCQ,"Genres, Fantasy, Fiction, Historical Fiction, Arthurian, Mythology, Classics, Historical","Avalon, #1",1009,Kindle Edition
205,206,Oliver Twist,Charles Dickens,3.88,414145,Not found,Not found,"Genres, Fiction, Classics, Historical Fiction, Literature, Novels, 19th Century, Classic Literature",,608,Paperback
206,207,Treasure Island,Robert Louis Stevenson,3.85,518596,9780753453803,0753453800,"Genres, Fiction, Adventure, Historical Fiction, Young Adult, Childrens, Pirates, Fantasy",,352,Hardcover
207,208,Jonathan Livingston Seagull,Richard Bach,3.86,263538,9780743278904,0743278909,"Genres, Fiction, Classics, Philosophy, Fantasy, Spirituality, Inspirational, Self Help",,112,Paperback
208,209,A Storm of Swords,George R.R. Martin,4.55,820726,9780553573428,055357342X,"Genres, Fantasy, Fiction, Epic Fantasy, High Fantasy, Science Fiction Fantasy, Audiobook, Dragons","A Song of Ice and Fire, #3",1177,Mass Market Paperback
209,210,Ulysses,James Joyce,3.77,136470,Not found,Not found,"Genres, Fiction, Literature, Classics, Ireland, Novels, Irish Literature, 20th Century",,783,Paperback
210,211,The Boy in the Striped Pajamas,John Boyne,4.16,904071,9780385751070,0385751079,"Genres, Historical Fiction, Fiction, Young Adult, Historical, Holocaust, War, World War II",,224,Hardcover
211,212,Fifty Shades of Grey,E.L. James,3.67,2771866,9781612130293,1612130291,"Genres, Fiction, BDSM, Contemporary, Contemporary Romance, Chick Lit, Erotica, Erotic Romance","Fifty Shades, #1",356,Paperback
212,213,Jurassic Park,Michael Crichton,4.12,1009630,9780307763051,B007UH4D3G,"Genres, Science Fiction, Fiction, Thriller, Horror, Fantasy, Adventure, Classics","Jurassic Park, #1",450,Kindle Edition
213,214,Beloved,Toni Morrison,3.97,465173,9781400033416,1400033411,"Genres, Fiction, Classics, Historical Fiction, Magical Realism, Historical, Literature, School","Beloved Trilogy, #1",325,Paperback
214,215,The Clan of the Cave Bear,Jean M. Auel,4.1,275887,Not found,B00466HQ2Y,"Genres, Historical Fiction, Fiction, Fantasy, Historical, Classics, Adventure, Prehistoric","Earth's Children, #1",516,Kindle Edition
215,216,The Lost Hero,Rick Riordan,4.3,903355,9781423113393,142311339X,"Genres, Fantasy, Mythology, Young Adult, Fiction, Middle Grade, Adventure, Greek Mythology","The Heroes of Olympus, #1",576,Hardcover
216,217,A Farewell to Arms,Ernest Hemingway,3.82,338322,9780099910107,0099910101,"Genres, Fiction, Historical Fiction, Classics, War, Literature, Novels, Romance",,293,Paperback
217,218,David Copperfield,Charles Dickens,4.04,249664,Not found,Not found,"Genres, Fiction, Literature, Historical Fiction, Audiobook, 19th Century, Novels, Victorian",,882,Paperback
218,219,The Canterbury Tales,Geoffrey Chaucer,3.52,232505,9780140424386,0140424385,"Genres, Fiction, Poetry, Classics, Literature, School, Short Stories, Historical Fiction",,504,Paperback
219,220,A Little Princess,Frances Hodgson Burnett,4.23,317539,9780142437018,0142437018,"Genres, Fiction, Childrens, Classics, Young Adult, Historical Fiction, Middle Grade, Historical",,242,Paperback
220,221,The World According to Garp,John Irving,4.11,234149,9780345915597,0345915593,"Genres, Fiction, Classics, Literature, Contemporary, Novels, Literary Fiction, Humor",,610,Hardcover
221,222,Thirteen Reasons Why,Jay Asher,3.84,1004672,9781595147882,1595147888,"Genres, Young Adult, Fiction, Contemporary, Realistic Fiction, Mystery, Mental Health, Teen",,352,Hardcover
222,223,Cinder,Marissa Meyer,4.13,976889,Not found,B007BDS5G0,"Genres, Fantasy, Young Adult, Science Fiction, Romance, Retellings, Fiction, Dystopia","The Lunar Chronicles, #1",400,Hardcover
223,224,His Dark Materials,Philip Pullman,4.29,165493,9780440238607,0440238609,"Genres, Fantasy, Fiction, Young Adult, Childrens, Science Fiction Fantasy, Science Fiction, Classics",His Dark Materials #1-3,1088,Mass Market Paperback
224,225,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,3.52,653212,9780060987107,B007CGOP4C,"Genres, Fantasy, Fiction, Retellings, Audiobook, Witches, Classics, Magic","The Wicked Years, #1",406,Paperback
225,226,Clockwork Prince,Cassandra Clare,4.42,571963,9781416975885,1416975888,"Genres, Fantasy, Young Adult, Romance, Paranormal, Steampunk, Historical Fiction, Urban Fantasy","The Infernal Devices, #2",498,Hardcover
226,227,Shōgun,James Clavell,4.41,200652,9781982603847,1982603844,"Genres, Historical Fiction, Fiction, Japan, Historical, Adventure, Audiobook, Literature","Asian Saga, #1",1152,Paperback
227,228,Schindler’s List,Thomas Keneally,4.34,163219,9780340606513,0340606517,"Genres, History, Nonfiction, Holocaust, War, Historical, World War II, Biography",,429,Mass Market Paperback
228,229,The Velveteen Rabbit,Margery Williams Bianco,4.31,266391,9780380002559,0380002558,"Genres, Classics, Childrens, Fiction, Picture Books, Fantasy, Animals, Young Adult",,40,Paperback
229,230,The Iliad / The Odyssey,Homer,4.07,80831,9780147712554,0147712556,"Genres, Fiction, Poetry, Mythology, Classics, Fantasy, Literature, Historical Fiction",,1556,Paperback
230,231,The Silmarillion,J.R.R. Tolkien,4.02,317688,9780618391110,0618391118,"Genres, Fantasy, Fiction, High Fantasy, Science Fiction Fantasy, Epic Fantasy, Classics, Mythology",,386,Hardcover
231,232,The Trial,Franz Kafka,3.95,363841,Not found,Not found,"Genres, Fiction, Philosophy, Literature, German Literature, Novels, Dystopia, 20th Century",,255,Paperback
232,233,Howl’s Moving Castle,Diana Wynne Jones,4.29,410460,9780064410342,006441034X,"Genres, Fantasy, Young Adult, Fiction, Middle Grade, Magic, Classics, Audiobook","Howl’s Moving Castle, #1",329,Mass Market Paperback
233,234,Extremely Loud & Incredibly Close,Jonathan Safran Foer,3.97,429107,9780618711659,0618711651,"Genres, Fiction, Historical Fiction, Contemporary, Novels, Literary Fiction, Adult Fiction, Literature",,326,Paperback
234,235,The Other Boleyn Girl,Philippa Gregory,4.09,506101,Not found,B0DSZNGJK8,"Genres, Historical Fiction, Fiction, Historical, Romance, British Literature, Historical Romance, Tudor Period","The Plantagenet and Tudor Novels, #9",661,Paperback
235,236,The Silence of the Lambs,Thomas Harris,4.25,571529,Not found,Not found,"Genres, Horror, Fiction, Thriller, Mystery, Crime, Classics, Mystery Thriller","Hannibal Lecter, #2",421,Paperback
236,237,Man’s Search for Meaning,Viktor E. Frankl,4.38,802171,9780807014295,080701429X,"Genres, Nonfiction, Psychology, Philosophy, Self Help, Memoir, Biography, Audiobook",,165,Paperback
237,238,Fallen,Lauren Kate,3.72,605542,9780385738934,0385738935,"Genres, Fantasy, Young Adult, Romance, Paranormal, Angels, Paranormal Romance, Fiction","Fallen, #1",464,Hardcover
238,239,The Sun Also Rises,Ernest Hemingway,3.79,471039,Not found,B005PYJ9S0,"Genres, Classics, Fiction, Literature, Novels, Historical Fiction, American, Spain",,189,Paperback
239,240,Last Sacrifice,Richelle Mead,4.37,295187,9781595143068,1595143068,"Genres, Young Adult, Fantasy, Vampires, Paranormal, Romance, Urban Fantasy, Paranormal Romance","Vampire Academy, #6",594,Hardcover
240,241,Mockingjay,Suzanne Collins,4.1,3460472,9780439023511,0439023513,"Genres, Young Adult, Dystopia, Fiction, Fantasy, Science Fiction, Romance, Adventure","The Hunger Games, #3",390,Hardcover
241,242,A Confederacy of Dunces,John Kennedy Toole,3.89,287622,9780802130204,0802130208,"Genres, Fiction, Humor, Literature, Comedy, Novels, Classics, American",,394,Paperback
242,243,The Green Mile,Stephen King,4.48,343180,9780451933027,0451933028,"Genres, Horror, Fiction, Fantasy, Thriller, Mystery, Classics, Crime",,592,Paperback
243,244,The Secret Magdalene,Ki Longfellow,4.15,4684,9780307346667,0307346668,"Genres, Historical Fiction, Fiction, Religion, Historical, Spirituality, Literature, Novels",,448,Hardcover
244,245,The Crucible,Arthur Miller,3.61,443066,9780142437339,0142437336,"Genres, Classics, Plays, Fiction, Historical Fiction, School, Read For School, Historical",,143,Paperback
245,246,Cat’s Cradle,Kurt Vonnegut Jr.,4.15,421883,Not found,Not found,"Genres, Fiction, Classics, Science Fiction, Humor, Literature, Novels, Dystopia",,306,Paperback
246,247,The Screwtape Letters,C.S. Lewis,4.27,486022,Not found,B002BD2V2Y,"Genres, Fiction, Christian, Classics, Religion, Christianity, Fantasy, Theology",,222,Kindle Edition
247,248,The Girl on the Train,Paula Hawkins,3.96,3143307,9781594633669,1594633665,"Genres, Fiction, Mystery, Thriller, Mystery Thriller, Crime, Suspense, Audiobook",,336,Hardcover
248,249,The Wind in the Willows,Kenneth Grahame,4.02,231171,9780143039099,0143039091,"Genres, Fiction, Childrens, Fantasy, Classics, Animals, Young Adult, Middle Grade",,197,Paperback
249,250,A Light in the Attic,Shel Silverstein,4.36,465661,9780060513061,0060513063,"Genres, Poetry, Childrens, Classics, Fiction, Humor, Young Adult, Picture Books",,176,Hardcover
250,251,Spirit Bound,Richelle Mead,4.32,302768,9781595142504,1595142509,"Genres, Young Adult, Fantasy, Vampires, Paranormal, Romance, Urban Fantasy, Paranormal Romance","Vampire Academy, #5",489,Hardcover
251,252,Misery,Stephen King,4.23,796049,9780450417399,0450417395,"Genres, Horror, Fiction, Thriller, Mystery, Suspense, Mystery Thriller, Audiobook",,370,Paperback
252,253,The Lord of the Rings,J.R.R. Tolkien,4.54,706363,9780618640157,0618640150,"Genres, Fantasy, Classics, Fiction, Adventure, Science Fiction Fantasy, High Fantasy, Epic Fantasy",,1216,Paperback
253,254,City of Fallen Angels,Cassandra Clare,4.07,624710,9781442403543,1442403543,"Genres, Fantasy, Young Adult, Romance, Paranormal, Urban Fantasy, Vampires, Fiction","The Mortal Instruments, #4",425,Hardcover
254,255,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,4.47,342460,9780553256697,0553256696,"Genres, Nonfiction, Biography, History, Christian, Memoir, Classics, Holocaust",,242,Mass Market Paperback
255,256,Blindness,José Saramago,4.18,315664,Not found,B003T0GBOM,"Genres, Fiction, Dystopia, Classics, Science Fiction, Novels, Literature, Portugal",,349,Kindle Edition
256,257,Crooked Kingdom,Leigh Bardugo,4.58,714700,Not found,B0117K9N3Q,"Genres, Fantasy, Young Adult, Fiction, Romance, Young Adult Fantasy, LGBT, Magic","Six of Crows, #2",561,Kindle Edition
257,258,The God of Small Things,Arundhati Roy,3.96,312357,9780679457312,B006E58GFG,"Genres, Fiction, India, Historical Fiction, Classics, Literary Fiction, Contemporary, Indian Literature",,321,Paperback
258,259,The Phantom of the Opera,Gaston Leroux,3.96,262450,9780060809249,0060809248,"Genres, Fiction, Horror, Romance, Gothic, Classics, Mystery, Historical Fiction",,360,Mass Market Paperback
259,260,A Clash of Kings,George R.R. Martin,4.42,985378,9780553381696,0553381695,"Genres, Fantasy, Fiction, Epic Fantasy, High Fantasy, Science Fiction Fantasy, Audiobook, Dragons","A Song of Ice and Fire, #2",1009,Paperback
260,261,The Chain Between Worlds,Johnathon Nicolaou,4.47,1196,Not found,B0DVBPKYHY,"Genres, Fantasy, Young Adult, Urban Fantasy, Fiction, Young Adult Fantasy, Science Fiction, Novels",The Lost Artefacts #1,335,ebook
261,262,Ella Enchanted,Gail Carson Levine,4.01,419217,9780590920681,0590920685,"Genres, Fantasy, Young Adult, Fiction, Middle Grade, Romance, Childrens, Fairy Tales","Ella Enchanted, #1",240,Paperback
262,263,Girl with a Pearl Earring,Tracy Chevalier,3.93,759723,9780452287020,0452287022,"Genres, Historical Fiction, Fiction, Classics, Historical, Art, Romance, Adult Fiction",,233,Paperback
263,264,The Fellowship of the Ring,J.R.R. Tolkien,4.4,2982506,9780618346257,0618346252,"Genres, Fantasy, Classics, Fiction, Adventure, Audiobook, High Fantasy, Science Fiction Fantasy","The Lord of the Rings, #1",398,Paperback
264,265,The House of the Spirits,Isabel Allende,4.29,294377,9780553383805,0553383809,"Genres, Fiction, Magical Realism, Historical Fiction, Fantasy, Spanish Literature, Historical, Novels",,448,Paperback
265,266,Dark Places,Gillian Flynn,3.95,799498,9780307341563,0307341569,"Genres, Mystery, Fiction, Thriller, Mystery Thriller, Crime, Suspense, Audiobook",,424,Hardcover
266,267,Uglies,Scott Westerfeld,3.85,694875,9780689865381,0689865384,"Genres, Young Adult, Dystopia, Science Fiction, Fiction, Fantasy, Romance, Teen","Uglies, #1",425,Paperback
267,268,The Wind-Up Bird Chronicle,Haruki Murakami,4.14,300958,9780965341981,0965341984,"Genres, Fiction, Magical Realism, Fantasy, Japanese Literature, Novels, Literature, Literary Fiction",,607,Paperback
268,269,Marley and Me: Life and Love With the World’s Worst Dog,John Grogan,4.14,474310,9780739461198,B0058M5XF2,"Genres, Nonfiction, Animals, Memoir, Biography, Dogs, Humor, Biography Memoir",,291,Hardcover
269,270,The Way of Kings,Brandon Sanderson,4.67,592324,9780765326355,0765326353,"Genres, Fantasy, Fiction, Epic Fantasy, High Fantasy, Audiobook, Science Fiction Fantasy, Magic","The Stormlight Archive, #1",1007,Hardcover
270,271,Mystic River,Dennis Lehane,4.17,153601,9780060584757,0060584750,"Genres, Mystery, Fiction, Thriller, Crime, Mystery Thriller, Suspense, Drama",,416,Paperback
271,272,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.19,783919,9781984801814,1984801813,"Genres, Historical Fiction, Fiction, Romance, Historical, World War II, Audiobook, Book Club",,291,Paperback
272,273,Norwegian Wood,Haruki Murakami,,673134,9780375704024,0375704027,"Genres, Fiction, Romance, Japan, Japanese Literature, Classics, Novels, Literary Fiction",,296,Paperback
273,274,Red Dragon,Thomas Harris,4.07,354544,Not found,Not found,"Genres, Horror, Fiction, Thriller, Crime, Mystery, Mystery Thriller, Suspense","Hannibal Lecter, #1",454,Hardcover
274,275,She’s Come Undone,Wally Lamb,3.91,354120,9780671021009,B000MZ077O,"Genres, Fiction, Contemporary, Chick Lit, Coming Of Age, Adult Fiction, Novels, Literary Fiction",,465,Mass Market Paperback
275,276,Paper Towns,John Green,3.7,1444674,9780142414934,B003F76HBG,"Genres, Young Adult, Fiction, Contemporary, Romance, Mystery, Realistic Fiction, Coming Of Age",,305,Paperback
276,277,Shutter Island,Dennis Lehane,4.13,208775,9780380731862,038073186X,"Genres, Mystery, Fiction, Thriller, Horror, Mystery Thriller, Crime, Suspense",,369,Mass Market Paperback
277,278,Shiver,Maggie Stiefvater,3.76,490693,9780545123266,0545123267,"Genres, Young Adult, Fantasy, Romance, Paranormal, Werewolves, Fiction, Paranormal Romance","The Wolves of Mercy Falls, #1",392,Hardcover
278,279,Speak,Laurie Halse Anderson,4.05,615607,9780374311254,0374311250,"Genres, Young Adult, Fiction, Contemporary, Realistic Fiction, Mental Health, Coming Of Age, Teen",,224,Hardcover
279,280,Marked,P.C. Cast,3.82,513354,9780312360269,0312360266,"Genres, Young Adult, Fantasy, Vampires, Paranormal, Romance, Fiction, Supernatural","House of Night, #1",306,Paperback
280,281,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Hunter S. Thompson,4.07,364904,9780679785897,B01BITNA5S,"Genres, Fiction, Classics, Humor, Journalism, Novels, Literature, American",,204,Paperback
281,282,The Shack: Where Tragedy Confronts Eternity,William Paul Young,3.83,675572,Not found,B001B8Z2S0,"Genres, Fiction, Christian, Christian Fiction, Spirituality, Faith, Religion, Inspirational",,294,Kindle Edition
282,283,The Sound and the Fury,William Faulkner,3.86,189370,Not found,Not found,"Genres, Fiction, Literature, Classics, Novels, American, Southern Gothic, 20th Century",,366,Paperback
